"iso_code","location","date","people_fully_vaccinated_per_hundred","stringency_index","population","population_density","median_age","gdp_per_capita"
"ALB","Albania",2022-01-05,36.66,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-06,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-07,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-08,36.91,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-09,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-10,37.05,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-11,37.15,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-12,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-13,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-14,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-15,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-16,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-17,NA,43.52,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-18,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-19,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-20,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-21,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-22,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-23,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-24,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-25,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-26,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-27,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-28,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-29,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-30,38.69,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-01-31,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-01,40.26,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-02,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-03,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-04,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-05,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-06,40.62,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-07,40.71,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-08,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-09,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-10,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-11,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-12,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-13,41.05,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-14,41.12,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-15,41.17,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-16,41.22,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-17,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-18,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-19,NA,61.11,2872934,104.871,38,11803.431
"ALB","Albania",2022-02-20,41.37,61.11,2872934,104.871,38,11803.431
"DZA","Algeria",2021-11-22,11.91,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-23,NA,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-24,NA,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-25,11.97,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-26,NA,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-27,NA,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-28,NA,39.81,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-29,12.06,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-11-30,12.08,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-01,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-02,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-03,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-04,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-05,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-06,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-07,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-08,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-09,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-10,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-11,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-12,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-13,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-14,12.45,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-15,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-16,NA,50,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-17,NA,53.7,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-18,NA,53.7,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-19,NA,53.7,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-20,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-21,12.57,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-22,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-23,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-24,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-25,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-26,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-27,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-28,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-29,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-30,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2021-12-31,NA,48.15,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-01,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-02,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-03,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-04,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-05,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-06,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-07,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-08,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-09,12.99,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-10,NA,55.56,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-11,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-12,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-13,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-14,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-15,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-16,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-17,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-18,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-19,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-20,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-21,NA,58.33,44616626,17.348,29.1,13913.839
"DZA","Algeria",2022-01-22,NA,58.33,44616626,17.348,29.1,13913.839
